Date,Hour,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DryBulb,DewPnt,Month,Weekday
2013/1/1,1,1371.9,1521,80.31,79.34,0,0.97,100.36,98.56,0,1.8,35,21,1,2
2013/1/1,2,1287.8,1426,66.56,65.81,0,0.75,121.2,119.2,0,2,35,22,1,2
2013/1/1,3,1247.7,1365,69.08,68.47,0,0.61,35.97,35.41,0,0.56,35,22,1,2
2013/1/1,4,1210.2,1331,50.47,50.01,0,0.46,33.19,32.61,0,0.58,35,22,1,2
2013/1/1,5,1215.5,1330,51.94,51.47,0,0.47,35.82,35.14,0,0.68,34,22,1,2
2013/1/1,6,1263.3,1368,51.33,50.75,0,0.58,35.87,35.2,0,0.67,33,22,1,2
2013/1/1,7,1350.9,1428,77.36,76.47,0,0.89,35.07,34.41,0,0.66,33,23,1,2
2013/1/1,8,1438,1466,65.93,65.01,0,0.92,23.72,23.24,0,0.48,34,24,1,2
2013/1/1,9,1528,1552,76.07,75.1,0,0.97,42.71,41.83,0,0.88,34,24,1,2
2013/1/1,10,1622,1650,79.03,78.08,0,0.95,47.43,46.5,0,0.93,35,24,1,2
2013/1/1,11,1650.3,1726,94.84,93.56,0,1.28,55.66,54.49,0,1.17,37,25,1,2
2013/1/1,12,1684.5,1777,101.82,100.31,0,1.51,61.27,60.02,0,1.25,36,20,1,2
2013/1/1,13,1709.3,1798,101.92,100.37,0,1.55,74.55,73.04,0,1.51,36,18,1,2
2013/1/1,14,1649,1791,99,97.58,0,1.42,58.75,57.55,0,1.2,35,17,1,2
2013/1/1,15,1678.5,1789,94.41,93.09,0,1.32,41.34,40.57,0,0.77,35,17,1,2
2013/1/1,16,1715.2,1851,81.35,80.32,0,1.03,66.55,65.36,0,1.19,34,16,1,2
2013/1/1,17,1879.1,2044,119.13,117.22,0,1.91,131.95,129.51,0,2.44,33,15,1,2
2013/1/1,18,2018,2222,159.4,156.7,0,2.7,129.22,126.61,0,2.61,31,11,1,2
